participant,activity,window,mean,standar deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count
2,Stroop,2,699.2771084,25.48153749,624,764,700,688,-0.135633546,0.552261577,720,704,692,681.6,699.7412258,26,0.506024096,0.493975904,140,657.2271525,0.012048193,0.289156627,19.09156371,1,24,10.99196613,28,69.20481928,67.3253012,78.45783133,0.882063882,83
2,Stroop,3,695.0843373,32.80508513,624,816,692,688,1.091493883,2.291130128,712,696,688,672,695.8580384,34,0.445783133,0.554216867,192,1089.297679,0.048192771,0.253012048,22.50925735,4,21,15.04706836,23,65.06024096,68.62650602,76.81927711,0.846925972,83
2,Stroop,4,687.0588235,40.39637518,596,816,684,692,0.656028412,1.499785039,712,692,676,660,688.2453735,40,0.494117647,0.505882353,220,1651.294118,0.047058824,0.211764706,24.64220151,4,18,18.15104177,11,67.67058824,73.69411765,63.38823529,1.067557535,85
2,Stroop,5,681.9534884,34.65038239,596,800,680,676,0.460913178,2.322015649,704,684,676,660,682.8332222,32,0.465116279,0.534883721,204,1214.774282,0.034883721,0.139534884,21.09474426,3,12,15.50257931,18,69.06976744,67.30232558,72.93023256,0.947066327,86
2,Stroop,6,689.6470588,21.53886003,636,756,688,680,0.15074663,0.449291948,708,693.6,684,676,689.9833246,24,0.482352941,0.517647059,120,469.4453782,0.023529412,0.2,19.21309078,2,17,12.06520456,26,62.72941176,72,66.07058824,0.949430199,85
2,Stroop,7,688.0941176,21.83985754,636,756,688,680,0.230073311,0.663770707,704,692,680,672,688.440625,24,0.458823529,0.541176471,120,482.6577031,0.011764706,0.258823529,19.42016625,1,22,12.15881305,30,64.18823529,74.77647059,65.03529412,0.986975398,85
2,Stroop,8,681.8095238,21.42010415,636,740,680,668,0.095906808,0.422128697,696,686.4,676,668,682.1459137,28,0.476190476,0.523809524,104,470.0116144,0,0.261904762,17.88854382,0,11,11.07392283,13,64.57142857,67.61904762,66.66666667,0.968571429,42
2,rest,1,651.6111111,50.22686188,484,784,640,620,0.118052709,1.130821968,694.4,656,629.6,616,653.5440137,66,0.430555556,0.569444444,300,2558.269171,0.111111111,0.180555556,111.9829411,8,13,106.6871518,11,60.16666667,60,59.22222222,1.015947467,72
2,rest,2,677.220339,46.016971,584,804,672,644,0.552276685,0.066908492,705.6,684,660.8,644,678.7819599,60,0.474576271,0.525423729,220,2154.071303,0.084745763,0.271186441,107.8386594,5,16,103.1264887,7,69.69491525,73.08474576,76.13559322,0.915405165,59
2,rest,3,656.9,35.13957883,580,752,654,644,0.063750587,-0.251511031,688.8,664,644,631.2,657.8391901,45,0.475,0.525,172,1250.420253,0.0125,0.1625,16.47375535,1,13,10.77472387,12,65.35,63.8,66.35,0.98492841,80
2,rest,4,685.7209302,43.6542044,580,780,688,680,-0.076721472,-0.121911652,720,696,680,652,687.109077,52,0.511627907,0.488372093,200,1928.109439,0,0.209302326,16.65144403,0,18,9.995542259,7,68.13953488,61.44186047,72.79069767,0.936102236,86
2,rest,5,714.3902439,30.47500219,636,780,712,712,-0.123573629,-0.064408851,736,724,709.6,688.8,715.0399614,35,0.487804878,0.512195122,144,940.1915086,0.024390244,0.280487805,20.05424742,2,23,12.47263122,19,67.90243902,66.48780488,70.19512195,0.967338429,82
2,rest,6,723.5,22.68369458,684,772,722,712,0.614874446,-0.218180705,740.8,724,712,707.2,723.8555104,25,0.5,0.5,88,527.7435897,0.075,0.3,24.22120283,3,12,15.67923035,17,75.2,70.8,72.5,1.037241379,40
2,Social Conversation 5,1,659.1011236,39.30978806,592,760,660,668,0.167816006,-0.677149719,692,668,648,620,660.2723306,64,0.539325843,0.460674157,168,1562.819203,0.011235955,0.179775281,17.15172931,1,16,11.18846809,8,67.82022472,68.62921348,63.7752809,1.063424947,89
2,Social Conversation 5,2,668.5714286,37.35412443,592,748,668,668,-0.306738208,-0.324471994,696,677.6,666.4,636,669.614132,39,0.485714286,0.514285714,156,1415.552795,0,0.214285714,17.22515261,0,15,10.27696049,12,63.65714286,60.57142857,76.11428571,0.836336336,70
